cc,p,r,h
92.08,18,1,30
95.97,18,3,30
96.67,18,5,30
97.08,18,7,30
97.50,18,10,30
90.05,14,1,30
95.09,14,3,30
95.46,14,5,30
96.06,14,7,30
95.88,14,10,30
88.78,10,1,30
93.86,10,3,30
94.61,10,5,30
94.83,10,7,30
94.86,10,10,30
85.10,6,1,30
91.15,6,3,30
92.20,6,5,30
92.88,6,7,30
93.06,6,10,30
80.33,3,1,30
86.39,3,3,30
87.45,3,5,30
87.11,3,7,30
88.61,3,10,30
