Te,percentTest,c,n,sd
93.52,18,10,128,128
93.36,14,10,128,128
90.19,10,10,128,128
63.03,6,10,128,128
17.97,3,10,128,128
96.30,18,50,128,128
96.45,14,50,128,128
94.81,10,50,128,128
93.92,6,50,128,128
87.53,3,50,128,128
96.76,18,100,128,128
96.14,14,100,128,128
94.72,10,100,128,128
93.39,6,100,128,128
88.13,3,100,128,128
96.30,18,200,128,128
95.52,14,200,128,128
95.09,10,200,128,128
93.58,6,200,128,128
88.24,3,200,128,128
