cc,p,r,h
7.92,18,1,30
4.03,18,3,30
3.33,18,5,30
2.92,18,7,30
2.5,18,10,30
9.95,14,1,30
4.91,14,3,30
4.54,14,5,30
3.94,14,7,30
4.12,14,10,30
11.22,10,1,30
6.14,10,3,30
5.39,10,5,30
5.17,10,7,30
5.14,10,10,30
14.9,6,1,30
8.85,6,3,30
7.8,6,5,30
7.12,6,7,30
6.94,6,10,30
19.67,3,1,30
13.61,3,3,30
12.55,3,5,30
12.89,3,7,30
11.39,3,10,30
