cc,g,p,h,n
7.5,18,1,30,16
3.19,18,3,30,16
1.81,18,5,30,16
1.94,18,7,30,16
2.78,18,10,30,16
8.47,14,1,30,16
3.84,14,3,30,16
2.69,14,5,30,16
3.15,14,7,30,16
1.94,14,10,30,16
10.69,10,1,30,16
4.39,10,3,30,16
3.5,10,5,30,16
3.28,10,7,30,16
3.06,10,10,30,16
13.17,6,1,30,16
5.71,6,3,30,16
4.88,6,5,30,16
3.67,6,7,30,16
4.29,6,10,30,16
19.51,3,1,30,16
8.63,3,3,30,16
7.06,3,5,30,16
6.86,3,7,30,16
6.09,3,10,30,16
