cc,g,p,h,n
93.06,3,10,20,16
93.81,3,10,20,32
90.21,3,10,20,64
88.82,3,10,20,128
93.91,3,10,30,16
93.42,3,10,30,32
90.82,3,10,30,64
90.16,3,10,30,128
93.71,3,10,50,16
94.08,3,10,50,32
90.59,3,10,50,64
89.38,3,10,50,128
93.19,3,10,70,16
92.70,3,10,70,32
90.57,3,10,70,64
89.25,3,10,70,128
