Te,percentTest,c,n,sd
93.52,0.1,10,128,128
93.36,0.3,10,128,128
90.19,0.5,10,128,128
63.03,0.7,10,128,128
17.97,0.85,10,128,128
96.30,0.1,50,128,128
96.45,0.3,50,128,128
94.81,0.5,50,128,128
93.92,0.7,50,128,128
87.53,0.85,50,128,128
96.76,0.1,100,128,128
96.14,0.3,100,128,128
94.72,0.5,100,128,128
93.39,0.7,100,128,128
88.13,0.85,100,128,128
96.30,0.1,200,128,128
95.52,0.3,200,128,128
95.09,0.5,200,128,128
93.58,0.7,200,128,128
88.24,0.85,200,128,128
