percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,c,tolerance,sd,batches,Tr,Tr(sd),Te,Te(sd)
0.3,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.36,2.38
0.5,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.89,0.10
0.7,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.12,0.98
0.85,False,64,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,87.09,0.22
0.1,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,91.20,0.86
0.3,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,94.60,1.02
0.5,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,92.87,0.37
0.7,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,89.95,0.66
0.85,False,64,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,87.42,1.79
0.1,False,128,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,93.98,2.79
0.3,False,128,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,93.52,2.64
0.5,False,128,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,93.15,2.89
0.7,False,128,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,92.06,0.17
0.85,False,128,True,2,False,letters_numbers_numbers2,10,0.01,32,10000,100.00,0.00,86.49,0.59
0.1,False,128,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,97.69,0.21
0.3,False,128,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,94.60,1.17
0.5,False,128,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,93.33,0.23
0.7,False,128,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,91.34,0.03
0.85,False,128,True,2,False,letters_numbers_numbers2,50,0.01,32,10000,100.00,0.00,87.64,0.37
0.1,False,128,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.52,2.79
0.3,False,128,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,94.14,1.02
0.5,False,128,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.98,0.06
0.7,False,128,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,93.12,0.77
0.85,False,128,True,2,False,letters_numbers_numbers2,100,0.01,32,10000,100.00,0.00,87.47,0.32
0.1,False,128,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,92.13,1.50
0.3,False,128,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,94.44,0.93
0.5,False,128,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,92.69,0.63
0.7,False,128,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,90.67,0.64
0.85,False,128,True,2,False,letters_numbers_numbers2,200,0.01,32,10000,100.00,0.00,88.07,1.61
