percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,c,tolerance,sd,batches,Tr,Tr(sd),Te,Te(sd)
0.3,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,91.67,5.79
0.7,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,88.89,8.64
0.85,False,32,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,91.67,0.00
0.5,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.78,1.23
0.85,False,32,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,86.11,0.00
0.3,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,88.89,13.50
0.7,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,32,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,85.19,0.86
0.3,False,32,True,2,False,visap-half,10,0.01,64,10000,98.15,0.86,83.33,0.00
0.5,False,32,True,2,False,visap-half,10,0.01,64,10000,94.44,1.93,84.72,1.93
0.7,False,32,True,2,False,visap-half,10,0.01,64,10000,98.15,3.43,84.44,1.23
0.85,False,32,True,2,False,visap-half,10,0.01,64,10000,91.67,23.15,83.33,0.00
0.3,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,88.89,7.72
0.5,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,86.11,1.93
0.7,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.44,1.23
0.85,False,32,True,2,False,visap-half,50,0.01,64,10000,100.00,0.00,84.26,0.86
0.3,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,86.11,7.72
0.5,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,93.06,7.72
0.7,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,88.89,4.94
0.85,False,32,True,2,False,visap-half,100,0.01,64,10000,100.00,0.00,87.96,6.00
0.3,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,91.67,0.00
0.5,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,87.50,0.00
0.7,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,87.78,4.94
0.85,False,32,True,2,False,visap-half,200,0.01,64,10000,100.00,0.00,86.11,2.57
0.3,False,32,True,2,False,visap-half,10,0.01,128,10000,94.44,7.72,83.33,0.00
0.5,False,32,True,2,False,visap-half,10,0.01,128,10000,91.67,5.79,83.33,0.00
0.7,False,32,True,2,False,visap-half,10,0.01,128,10000,81.48,3.43,74.44,1.23
0.85,False,32,True,2,False,visap-half,10,0.01,128,10000,38.89,30.86,30.56,54.01
0.3,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,94.44,7.72
0.5,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,91.67,0.00
0.7,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.56,1.23
0.85,False,32,True,2,False,visap-half,50,0.01,128,10000,100.00,0.00,85.19,0.86
0.3,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,88.89,7.72
0.5,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,93.06,1.93
0.7,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,83.33,0.00
0.85,False,32,True,2,False,visap-half,100,0.01,128,10000,100.00,0.00,87.96,0.86
0.3,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,23.15
0.5,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,91.67,5.79
0.7,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.78,4.94
0.85,False,32,True,2,False,visap-half,200,0.01,128,10000,100.00,0.00,87.96,0.86
