cc,g,p,h,n
81.98,3,1,30,16
84.44,3,1,30,32
85.78,3,1,30,64
85.44,3,1,30,128
91.57,3,3,30,16
92.04,3,3,30,32
89.93,3,3,30,64
90.11,3,3,30,128
93.27,3,5,30,16
93.07,3,5,30,32
91.60,3,5,30,64
89.77,3,5,30,128
93.45,3,7,30,16
94.07,3,7,30,32
91.63,3,7,30,64
90.54,3,7,30,128
93.89,3,10,30,16
94.61,3,10,30,32
92.11,3,10,30,64
89.61,3,10,30,128
