cc,g,p,h,n
92.50,0.1,1,30,16
96.81,0.1,3,30,16
98.19,0.1,5,30,16
98.06,0.1,7,30,16
97.22,0.1,10,30,16
91.53,0.3,1,30,16
96.16,0.3,3,30,16
97.31,0.3,5,30,16
96.85,0.3,7,30,16
98.06,0.3,10,30,16
89.31,0.5,1,30,16
95.61,0.5,3,30,16
96.50,0.5,5,30,16
96.72,0.5,7,30,16
96.94,0.5,10,30,16
86.83,0.7,1,30,16
94.29,0.7,3,30,16
95.12,0.7,5,30,16
96.33,0.7,7,30,16
95.71,0.7,10,30,16
80.49,0.85,1,30,16
91.37,0.85,3,30,16
92.94,0.85,5,30,16
93.14,0.85,7,30,16
93.91,0.85,10,30,16
