percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,c,tolerance,sd,batches,Tr,Tr(sd),Te,Te(sd)
0.7,False,128,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,128,True,2,False,visap-half,50,0.01,32,10000,100.00,0.00,87.04,0.86
0.1,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,91.67,23.15
0.5,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,88.89,1.93
0.7,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,85.56,1.23
0.85,False,128,True,2,False,visap-half,100,0.01,32,10000,100.00,0.00,87.96,0.86
0.1,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,NaN,NaN
0.3,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.11,7.72
0.5,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,91.67,0.00
0.7,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,86.67,3.70
0.85,False,128,True,2,False,visap-half,200,0.01,32,10000,100.00,0.00,84.26,0.86
