percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,spread,groupSize,Tr,Tr(sd),Te,Te(sd)
0.85,False,32,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,48.53,0.00
0.1,False,32,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,72.22,0.00
0.3,False,32,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,71.76,0.00
0.5,False,32,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,67.78,0.00
0.7,False,32,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,64.88,0.00
0.85,False,32,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,49.51,0.00
0.1,False,32,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,68.06,0.00
0.3,False,32,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,69.91,0.00
0.5,False,32,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,67.50,0.00
0.7,False,32,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,60.91,0.00
0.85,False,32,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,49.51,0.00
0.1,False,64,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,73.61,0.00
0.3,False,64,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,71.76,0.00
0.5,False,64,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,62.78,0.00
0.7,False,64,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,62.30,0.00
0.85,False,64,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,48.20,0.00
0.1,False,64,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,69.44,0.00
0.3,False,64,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,69.91,0.00
0.5,False,64,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,70.28,0.00
0.7,False,64,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,64.29,0.00
0.85,False,64,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,58.50,0.00
0.1,False,64,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,76.39,0.00
0.3,False,64,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,74.54,0.00
0.5,False,64,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,70.28,0.00
0.7,False,64,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,64.09,0.00
0.85,False,64,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,54.41,0.00
0.1,False,64,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,77.78,0.00
0.3,False,64,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,70.83,0.00
0.5,False,64,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,70.83,0.00
0.7,False,64,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,59.72,0.00
0.85,False,64,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,57.35,0.00
0.1,False,64,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,70.83,0.00
0.3,False,64,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,70.83,0.00
0.5,False,64,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,65.83,0.00
0.7,False,64,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,63.29,0.00
0.85,False,64,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,47.88,0.00
0.1,False,64,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,70.83,0.00
0.3,False,64,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,67.59,0.00
0.5,False,64,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,65.83,0.00
0.7,False,64,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,61.90,0.00
0.85,False,64,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,47.55,0.00
0.1,False,64,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,63.89,0.00
0.3,False,64,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,69.44,0.00
0.5,False,64,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,68.06,0.00
0.7,False,64,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,60.52,0.00
0.85,False,64,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,48.86,0.00
0.1,False,128,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,72.22,0.00
0.3,False,128,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,72.69,0.00
0.5,False,128,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,61.94,0.00
0.7,False,128,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,60.12,0.00
0.85,False,128,True,2,False,letters_numbers_numbers2,1,0,100.00,0.00,48.53,0.00
0.1,False,128,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,73.61,0.00
0.3,False,128,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,68.98,0.00
0.5,False,128,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,69.44,0.00
0.7,False,128,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,64.09,0.00
0.85,False,128,True,2,False,letters_numbers_numbers2,2,0,100.00,0.00,59.31,0.00
0.1,False,128,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,77.78,0.00
0.3,False,128,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,75.00,0.00
0.5,False,128,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,69.17,0.00
0.7,False,128,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,62.30,0.00
0.85,False,128,True,2,False,letters_numbers_numbers2,4,0,100.00,0.00,51.80,0.00
0.1,False,128,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,73.61,0.00
0.3,False,128,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,70.37,0.00
0.5,False,128,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,70.28,0.00
0.7,False,128,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,59.72,0.00
0.85,False,128,True,2,False,letters_numbers_numbers2,16,0,100.00,0.00,56.54,0.00
0.1,False,128,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,72.22,0.00
0.3,False,128,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,68.52,0.00
0.5,False,128,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,64.72,0.00
